RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,221958,Surname0,555,France,Female,46,10,108169.21707133445,2,1,0,11586.059296600211,0
2,771155,Surname1,626,Spain,Male,33,1,99103.71775401755,4,0,0,33194.80473357305,0
3,231932,Surname2,622,Spain,Male,45,1,221544.5342064972,1,0,1,76311.41489024143,0
4,465838,Surname3,636,France,Female,41,5,62754.289631479834,3,0,0,67576.99613237017,0
5,359178,Surname4,708,France,Female,50,4,214341.0430400078,1,0,1,27781.419081375367,1
6,744167,Surname5,660,Spain,Female,39,9,22275.871897292855,1,0,0,140654.9564828038,0
7,210268,Surname6,748,Spain,Female,69,9,238832.00920938113,2,0,1,132112.34530638758,1
8,832180,Surname7,649,France,Male,43,6,125753.93896185882,4,0,1,57143.54464626352,1
9,154886,Surname8,792,France,Female,39,1,249726.30122291515,3,0,0,78716.81990196231,1
10,237337,Surname9,613,Germany,Male,34,8,151983.4850255551,3,1,1,102713.28909752532,0
11,621430,Surname10,588,Spain,Male,46,1,29400.5179129139,4,1,0,18605.248881746596,0
12,187498,Surname11,693,Spain,Female,34,0,15222.921636200426,3,1,1,39411.52696446386,0
13,999159,Surname12,759,France,Male,30,1,48354.70987876048,2,1,0,132895.44571114288,0
14,275203,Surname13,539,France,Female,33,10,105287.2317055911,4,0,0,102274.63047521448,1
15,291335,Surname14,634,Germany,Male,36,2,186797.4118445841,3,1,1,124089.99133669824,0
16,378167,Surname15,601,Germany,Male,60,5,178.69878213488954,1,0,0,194927.74040330623,1
17,141090,Surname16,661,France,Male,40,6,64336.69453693497,3,1,1,153546.0253347205,0
18,429365,Surname17,650,Spain,Male,31,10,146892.48793034756,1,0,0,193964.15775396893,0
19,164820,Surname18,757,Germany,Male,48,5,74470.8408057813,4,0,1,122280.7029706015,0
20,887201,Surname19,641,France,Female,39,0,89235.91084850505,1,1,1,10278.554402331669,0
21,421879,Surname20,759,France,Male,50,8,75190.89323250778,1,0,0,27817.387647906417,0
22,818315,Surname21,624,France,Female,57,7,238295.72980995927,2,0,1,142426.42378512083,1
23,427069,Surname22,724,Spain,Female,23,1,16458.294181889905,2,0,1,67962.91528555218,1
24,876997,Surname23,668,France,Male,18,0,226877.81056462898,4,1,0,88616.83725667618,0
25,299041,Surname24,788,France,Female,57,6,80809.79383121296,2,1,1,138329.4039981214,0
26,891743,Surname25,531,Spain,Male,31,2,61636.660528720604,4,1,0,73352.64107033121,0
27,203355,Surname26,556,France,Female,21,2,220817.13364836774,2,1,0,175994.6202935725,1
28,335796,Surname27,796,France,Female,32,10,71771.1065295083,1,1,0,83610.96453980806,0
29,314176,Surname28,591,Germany,Male,28,9,246870.87737396386,4,1,0,18421.510995132205,1
30,284779,Surname29,596,France,Female,30,8,137021.92945122722,1,0,1,196999.62407599387,0
31,447449,Surname30,579,Spain,Female,46,1,119092.99318216296,3,1,1,103047.32366031576,1
32,521909,Surname31,741,Germany,Female,34,4,244121.77190386778,4,1,1,76602.97069451454,1
33,358795,Surname32,549,France,Male,21,3,56691.717088833415,4,1,1,180840.80178853357,0
34,586232,Surname33,651,Spain,Female,38,0,227242.33227276566,4,0,1,173565.58329862126,0
35,600186,Surname34,628,France,Female,29,5,147881.15111779072,2,1,0,17185.21058944529,0
36,256730,Surname35,732,Germany,Male,35,5,188741.9277397161,3,0,1,163603.48879086066,1
37,970910,Surname36,604,Spain,Female,36,10,145508.57441202705,2,0,0,103094.1222670028,0
38,484681,Surname37,683,Germany,Male,46,0,154662.11606613768,2,0,0,137955.2629957336,1
39,249503,Surname38,556,Spain,Female,32,6,38730.349223784324,3,0,1,37731.41914936276,0
40,754811,Surname39,831,Spain,Female,44,5,37915.65745421932,4,1,0,136819.1469629726,0
41,627035,Surname40,630,France,Female,22,3,99289.25096286855,2,1,1,53718.29879080369,0
42,748143,Surname41,650,Spain,Male,46,6,86597.31008508881,3,1,0,32296.49600666559,0
43,552366,Surname42,782,Spain,Female,50,2,178015.11198952128,1,0,1,35585.585479138696,1
44,165725,Surname43,603,France,Male,35,9,180690.09454057718,4,0,1,66987.97737684661,0
45,229981,Surname44,783,Spain,Male,29,10,140948.00993570045,1,0,1,198413.56287643936,0
46,184654,Surname45,617,Spain,Female,27,5,100502.30042198754,4,1,1,20313.917643769535,1
47,691723,Surname46,703,Spain,Female,37,5,169202.39693085558,4,0,0,72873.70711954527,0
48,419030,Surname47,604,Spain,Male,50,9,171836.38725247013,3,1,0,109760.62248874026,0
49,428947,Surname48,541,France,Female,33,5,202275.4862831614,3,0,0,49311.005212793716,0
50,655839,Surname49,683,France,Female,49,2,202932.55011401323,1,1,1,192705.12481111824,1
51,373538,Surname50,701,Germany,Female,26,9,17391.79078488548,1,1,0,97507.59787777651,0
52,431236,Surname51,544,Spain,Female,34,4,93512.8412702417,2,0,0,141616.30366086232,0
53,628178,Surname52,625,France,Male,37,0,104982.2990976311,2,1,0,78393.72744459676,0
54,665894,Surname53,746,Spain,Female,40,5,211731.26249340703,4,0,1,46897.84058080302,0
55,589492,Surname54,698,France,Male,34,6,125451.94671628323,1,1,0,67686.09640257416,0
56,356840,Surname55,618,Germany,Male,50,4,122201.43890478394,2,1,0,63138.6980122834,1
57,573254,Surname56,602,Spain,Male,50,4,138443.06221677238,3,0,1,171034.6467698204,1
58,449457,Surname57,805,Germany,Male,36,5,31803.528705173416,3,0,0,12804.53769883973,0
59,765987,Surname58,534,Germany,Male,32,6,141324.14848005248,1,1,1,179792.20816306,1
60,370936,Surname59,645,Germany,Male,31,3,137886.8115483307,3,0,0,84649.79398502116,0
61,339931,Surname60,532,France,Male,48,6,188606.36384542898,2,1,0,127197.70245145458,0
62,339629,Surname61,755,Spain,Female,31,4,158538.29837211248,2,1,0,163057.31304132848,0
63,305041,Surname62,649,France,Female,23,6,238757.50842310896,1,1,1,97587.78578344919,0
64,798361,Surname63,664,France,Male,24,0,20025.342834005005,2,1,1,27596.103420868465,0
65,831912,Surname64,850,Spain,Female,44,9,192912.89454751404,1,1,0,112922.64946455992,0
66,517113,Surname65,602,Spain,Female,24,1,187875.59634399624,2,1,1,33100.13210364706,1
67,168148,Surname66,789,Spain,Female,34,1,67336.23324804567,2,0,1,166688.1530112449,1
68,877089,Surname67,618,Spain,Female,39,6,174637.5675490585,2,0,1,133099.21034046361,0
69,748531,Surname68,631,France,Male,21,8,164830.3119491038,1,1,1,122507.38585828301,0
70,351995,Surname69,850,Spain,Female,39,6,74676.46614112605,1,0,1,10073.64780841399,0
71,778843,Surname70,637,Spain,Male,34,5,180945.62596782713,2,1,0,192413.83365653153,1
72,672843,Surname71,540,Spain,Female,18,2,232663.08561479388,2,1,0,34763.010837761365,0
73,356508,Surname72,672,Germany,Female,39,4,76304.7509611198,2,0,1,44857.772492281285,1
74,903591,Surname73,636,Spain,Male,41,9,245020.65728128736,3,0,1,197370.15364834687,1
75,996942,Surname74,679,Spain,Male,39,1,56071.698264939296,4,0,1,27010.92574691195,1
76,206530,Surname75,639,France,Male,43,8,33660.4275377822,4,0,1,150912.69157848594,0
77,704365,Surname76,827,Germany,Female,40,5,19262.587074162147,3,0,0,28042.758666595244,0
78,922352,Surname77,694,France,Female,45,8,53420.83903490952,4,1,0,149234.50713414568,0
79,560337,Surname78,564,Germany,Female,28,8,85627.90451949973,4,1,0,178983.16808746668,0
80,824839,Surname79,659,France,Male,24,6,183289.88321104622,4,0,1,76442.12259722945,1
81,905889,Surname80,586,France,Male,26,4,18002.744630009198,2,0,0,69350.22091362989,0
82,559773,Surname81,630,Spain,Male,29,3,126816.29040956133,3,0,1,187269.5917653842,0
83,308261,Surname82,577,Spain,Male,58,0,129685.6701268074,2,0,0,24183.555138492513,0
84,864469,Surname83,818,Germany,Male,29,8,56985.759042138816,4,1,1,76033.85999814484,1
85,441097,Surname84,594,Germany,Female,32,5,11364.164724455339,3,0,0,134056.32261187182,1
86,415139,Surname85,705,Germany,Male,35,1,56279.75552137476,3,0,1,140623.01715266303,0
87,271829,Surname86,624,Spain,Male,34,6,57597.37861486178,2,1,0,96073.41383725563,1
88,371836,Surname87,557,France,Female,56,5,172005.9381834157,1,0,0,172193.01240995832,0
89,538974,Surname88,665,Germany,Male,20,3,58444.8646777734,3,0,1,171304.19588356544,1
90,302283,Surname89,682,Spain,Male,59,5,85066.04819077493,1,0,0,165242.8870556237,0
91,296769,Surname90,694,Spain,Male,39,10,11857.490259331777,4,1,1,42446.722374960256,1
92,661353,Surname91,440,France,Male,47,5,155986.49882478258,3,1,0,132869.86625716145,0
93,323165,Surname92,551,France,Female,38,4,118535.93900794626,1,0,0,171686.8523071255,0
94,723587,Surname93,726,Spain,Male,46,0,86242.36753501164,1,1,1,27911.78047983198,0
95,635822,Surname94,576,France,Female,28,2,175720.08619418516,2,1,1,56471.465023947305,0
96,587879,Surname95,666,France,Male,24,6,170530.47463245646,1,1,1,195816.20945604544,1
97,664685,Surname96,549,Spain,Female,63,1,81976.78905086564,4,1,1,97756.32183020022,0
98,882038,Surname97,708,Germany,Female,57,9,177351.91279937277,4,0,1,110737.32185526994,1
99,453531,Surname98,724,Germany,Male,27,9,87052.47742619179,3,1,1,76551.5413901025,0
100,363160,Surname99,708,Spain,Female,45,0,55499.81858777403,2,1,0,84516.25224857547,0
101,679879,Surname100,732,Germany,Female,49,7,179957.46284987015,2,1,1,179959.24204489955,0
102,320884,Surname101,775,Spain,Female,44,6,182006.43379463739,2,1,0,49754.98889768288,0
